"tarih","close","acilis","yuksek","dusuk","hacim","fark_yuzde"
"06.01.2025","427,85","428,00","434,32","425,48","20,57M","1,06%"
"07.01.2025","422,37","429,00","430,65","420,80","18,14M","-1,28%"
"08.01.2025","424,56","423,46","426,97","421,54","15,05M","0,52%"
"10.01.2025","418,95","424,63","424,71","415,02","20,20M","-1,32%"
"13.01.2025","417,19","415,23","418,50","412,29","17,60M","-0,42%"
"14.01.2025","415,67","417,81","419,74","410,72","16,94M","-0,36%"
"15.01.2025","426,31","419,13","428,15","418,27","19,64M","2,56%"
"16.01.2025","424,58","428,70","429,49","424,39","15,30M","-0,41%"
"17.01.2025","429,03","434,08","434,48","428,17","26,20M","1,05%"
"21.01.2025","428,50","430,20","430,90","425,60","26,09M","-0,12%"
"22.01.2025","446,20","437,56","447,27","436,00","27,80M","4,13%"
"23.01.2025","446,71","442,00","446,75","441,50","18,39M","0,11%"
"24.01.2025","444,06","445,16","446,65","441,40","15,55M","-0,59%"
"27.01.2025","434,56","424,01","435,20","423,50","35,65M","-2,14%"
"28.01.2025","447,20","434,60","448,38","431,38","23,49M","2,91%"
"29.01.2025","442,33","446,69","446,88","440,40","23,58M","-1,09%"
"30.01.2025","414,99","418,77","422,86","413,16","54,59M","-6,18%"
"31.01.2025","415,06","418,98","420,69","414,91","34,22M","0,02%"
"03.02.2025","410,92","411,60","415,41","408,66","25,68M","-1,00%"
"04.02.2025","412,37","412,68","413,92","409,74","20,53M","0,35%"
"05.02.2025","413,29","412,35","413,83","410,40","16,34M","0,22%"
"06.02.2025","415,82","414,00","418,20","414,00","16,31M","0,61%"
"07.02.2025","409,75","416,48","418,65","408,10","22,89M","-1,46%"
"10.02.2025","412,22","413,71","415,46","410,92","20,82M","0,60%"
"11.02.2025","411,44","409,64","412,49","409,30","18,14M","-0,19%"
"12.02.2025","409,04","407,21","410,75","404,37","19,12M","-0,58%"
"13.02.2025","410,54","407,00","411,00","406,36","23,89M","0,37%"
"14.02.2025","408,43","407,79","408,91","405,88","22,76M","-0,51%"
"18.02.2025","409,64","408,00","410,60","406,50","21,42M","0,30%"
"19.02.2025","414,77","407,88","415,49","407,65","24,11M","1,25%"
"20.02.2025","416,13","415,29","419,31","412,54","23,51M","0,33%"
"21.02.2025","408,21","417,33","418,05","407,89","27,52M","-1,90%"
"24.02.2025","404,00","408,51","409,37","399,32","26,44M","-1,03%"
"25.02.2025","397,90","401,10","401,92","396,70","29,39M","-1,51%"
"26.02.2025","399,73","398,01","403,60","394,24","19,62M","0,46%"
"27.02.2025","392,53","401,27","405,74","392,17","21,13M","-1,80%"
"28.02.2025","396,99","392,65","397,63","386,57","32,85M","1,14%"
"03.03.2025","388,49","398,82","398,82","386,15","23,01M","-2,14%"
"04.03.2025","388,61","383,40","392,58","381,00","29,34M","0,03%"
"05.03.2025","401,02","389,34","401,67","388,81","23,43M","3,19%"
"06.03.2025","396,89","394,28","402,15","392,68","23,30M","-1,03%"
"07.03.2025","393,31","392,32","394,80","385,54","22,03M","-0,90%"
"10.03.2025","380,16","385,84","386,40","377,22","32,84M","-3,34%"
"11.03.2025","380,45","379,00","386,00","376,91","30,38M","0,08%"
"12.03.2025","383,27","382,95","385,22","378,95","24,25M","0,74%"
"13.03.2025","378,77","383,15","385,32","377,45","20,47M","-1,17%"
"14.03.2025","388,56","379,77","390,23","379,51","19,95M","2,58%"
"17.03.2025","388,70","386,70","392,70","385,57","22,47M","0,04%"
"18.03.2025","383,52","387,07","387,37","381,10","19,49M","-1,33%"
"19.03.2025","387,82","385,52","389,68","384,00","19,19M","1,12%"
"20.03.2025","386,84","385,73","391,79","383,28","18,47M","-0,25%"
"21.03.2025","391,26","383,21","391,74","382,80","39,68M","1,14%"
"24.03.2025","393,08","395,40","395,40","389,81","21,00M","0,47%"
"25.03.2025","395,16","393,92","396,36","392,64","15,77M","0,53%"
"26.03.2025","389,97","395,00","395,31","388,57","16,13M","-1,31%"
"27.03.2025","390,58","390,13","392,24","387,39","13,77M","0,16%"
"28.03.2025","378,80","388,08","389,13","376,93","21,63M","-3,02%"
"31.03.2025","375,39","372,54","377,07","367,24","35,18M","-0,90%"
"01.04.2025","382,19","374,65","382,85","373,23","19,69M","1,81%"
"02.04.2025","382,14","377,96","385,08","376,62","16,09M","-0,01%"
"03.04.2025","373,11","374,79","377,48","369,35","30,20M","-2,36%"
"04.04.2025","359,84","364,13","374,59","359,48","49,21M","-3,56%"
"07.04.2025","357,86","350,88","371,00","344,79","50,43M","-0,55%"
"08.04.2025","354,56","368,26","373,65","350,25","35,87M","-0,92%"
"09.04.2025","390,49","353,54","393,23","353,10","50,20M","10,13%"
"10.04.2025","381,35","382,06","383,90","367,80","38,02M","-2,34%"
"11.04.2025","388,45","380,64","390,05","378,89","23,84M","1,86%"
"14.04.2025","387,81","393,22","394,65","384,21","19,25M","-0,16%"
"15.04.2025","385,73","388,51","391,89","384,16","17,20M","-0,54%"
"16.04.2025","371,61","380,67","381,61","368,00","21,97M","-3,66%"
"17.04.2025","367,78","373,74","374,32","366,89","21,12M","-1,03%"
"21.04.2025","359,12","362,82","364,48","355,67","20,81M","-2,35%"
"22.04.2025","366,82","363,38","367,77","359,86","19,48M","2,14%"
"23.04.2025","374,39","376,06","380,39","373,02","20,55M","2,06%"
"24.04.2025","387,30","375,70","388,45","375,19","22,23M","3,45%"
"25.04.2025","391,85","387,00","392,16","384,60","18,97M","1,17%"
"28.04.2025","391,16","391,95","392,74","386,64","16,58M","-0,18%"
"29.04.2025","394,04","391,30","395,10","390,38","14,97M","0,74%"
"30.04.2025","395,26","390,30","396,66","384,44","36,46M","0,31%"
"01.05.2025","425,40","431,11","436,99","424,90","58,94M","7,63%"
"02.05.2025","435,28","431,74","439,44","429,98","30,76M","2,32%"
"05.05.2025","436,17","432,87","439,50","432,11","20,14M","0,20%"
"06.05.2025","433,31","432,20","437,73","431,17","15,10M","-0,66%"
"07.05.2025","433,35","433,84","438,12","431,11","23,31M","0,01%"
"08.05.2025","438,17","437,93","443,67","435,66","23,49M","1,11%"
"09.05.2025","438,73","440,00","440,74","435,88","15,32M","0,13%"
"12.05.2025","449,26","445,94","449,37","439,78","22,82M","2,40%"
"13.05.2025","449,14","447,78","450,67","445,36","23,62M","-0,03%"
"14.05.2025","452,94","448,14","453,90","448,14","19,90M","0,85%"
"15.05.2025","453,13","450,77","456,19","450,43","21,99M","0,04%"
"16.05.2025","454,27","452,05","454,36","448,73","23,85M","0,25%"
"19.05.2025","458,87","450,88","459,58","450,80","21,34M","1,01%"
"20.05.2025","458,17","455,59","458,34","454,32","15,44M","-0,15%"
"21.05.2025","452,57","454,57","457,78","451,81","19,22M","-1,22%"
"22.05.2025","454,86","454,95","460,25","453,90","18,03M","0,51%"
"23.05.2025","450,18","449,98","453,69","448,91","16,88M","-1,03%"
"27.05.2025","460,69","456,48","460,95","456,11","20,97M","2,33%"
"28.05.2025","457,36","461,22","462,52","456,93","17,09M","-0,72%"
"29.05.2025","458,68","461,55","461,72","455,31","13,98M","0,29%"
"30.05.2025","460,36","459,71","461,68","455,54","34,77M","0,37%"
"02.06.2025","461,97","457,14","462,11","456,89","16,63M","0,35%"
"03.06.2025","462,97","461,47","464,14","460,86","15,74M","0,22%"
"04.06.2025","463,87","464,00","465,69","463,02","14,16M","0,19%"
"05.06.2025","467,68","464,95","469,65","464,03","20,15M","0,82%"
"06.06.2025","470,38","470,08","473,33","468,78","15,29M","0,58%"
"09.06.2025","472,75","469,70","473,43","468,62","16,47M","0,50%"
"10.06.2025","470,92","471,18","472,80","466,96","15,38M","-0,39%"
"11.06.2025","472,62","470,02","475,47","469,65","16,40M","0,36%"
"12.06.2025","478,87","475,02","480,42","473,52","18,95M","1,32%"
"13.06.2025","474,96","476,41","479,18","472,76","16,81M","-0,82%"
"16.06.2025","479,14","475,21","480,69","475,00","15,63M","0,88%"
"17.06.2025","478,04","475,39","478,74","474,08","15,41M","-0,23%"
"18.06.2025","480,24","478,00","481,00","474,46","17,53M","0,46%"
"20.06.2025","477,40","482,23","483,46","476,87","37,58M","-0,59%"
"23.06.2025","486,00","478,21","487,75","472,51","24,86M","1,80%"
"24.06.2025","490,11","488,95","491,85","486,80","22,31M","0,85%"
"25.06.2025","492,27","492,04","494,56","489,39","17,50M","0,44%"
"26.06.2025","497,45","492,98","498,04","492,81","21,58M","1,05%"
"27.06.2025","495,94","497,55","499,30","493,03","34,54M","-0,30%"
"30.06.2025","497,41","497,04","500,76","495,33","28,37M","0,30%"
"01.07.2025","492,05","496,47","498,05","490,98","19,95M","-1,08%"
"02.07.2025","491,09","489,99","493,50","488,70","16,32M","-0,20%"
"03.07.2025","498,84","493,81","500,13","493,44","13,98M","1,58%"
"07.07.2025","497,72","497,38","498,75","495,23","13,98M","-0,22%"
"08.07.2025","496,62","497,24","498,20","494,11","11,85M","-0,22%"
"09.07.2025","503,51","500,30","506,78","499,74","18,66M","1,39%"
"10.07.2025","501,48","503,05","504,44","497,75","16,50M","-0,40%"
"11.07.2025","503,32","498,47","505,03","497,80","16,46M","0,37%"
"14.07.2025","503,02","501,52","503,97","501,03","12,06M","-0,06%"
"15.07.2025","505,82","503,02","508,30","502,79","14,93M","0,56%"
"16.07.2025","505,62","505,18","506,72","501,89","15,15M","-0,04%"
"17.07.2025","511,70","505,68","513,37","505,62","17,50M","1,20%"
"18.07.2025","510,05","514,48","514,64","507,43","21,21M","-0,32%"
"21.07.2025","510,06","506,70","512,09","505,55","14,07M","0,00%"
"22.07.2025","505,27","510,97","511,20","505,27","13,87M","-0,94%"
"23.07.2025","505,87","506,75","506,79","500,70","16,40M","0,12%"
"24.07.2025","510,88","508,77","513,67","507,30","16,11M","0,99%"
"25.07.2025","513,71","512,47","518,29","510,36","19,13M","0,55%"
"28.07.2025","512,50","514,08","515,00","510,12","14,31M","-0,24%"
"29.07.2025","512,57","515,53","517,62","511,56","16,47M","0,01%"
"30.07.2025","513,24","515,17","515,95","509,43","26,38M","0,13%"
"31.07.2025","533,50","555,22","555,45","531,90","51,62M","3,95%"
"01.08.2025","524,11","535,00","535,80","520,86","28,98M","-1,76%"
"04.08.2025","535,64","528,27","538,25","528,13","25,35M","2,20%"
"05.08.2025","527,75","537,18","537,30","527,24","19,17M","-1,47%"
"06.08.2025","524,94","530,90","531,70","524,03","21,36M","-0,53%"
"07.08.2025","520,84","526,80","528,09","517,55","16,08M","-0,78%"
"08.08.2025","522,04","522,60","524,66","519,41","15,53M","0,23%"
"11.08.2025","521,77","522,30","527,59","519,72","20,19M","-0,05%"
"12.08.2025","529,24","523,75","530,98","522,70","18,69M","1,43%"
"13.08.2025","520,58","532,11","532,70","519,37","19,62M","-1,64%"
"14.08.2025","522,48","522,56","525,95","520,14","20,27M","0,36%"
"15.08.2025","520,17","522,77","526,10","519,08","25,21M","-0,44%"
"18.08.2025","517,10","521,59","522,82","514,02","23,76M","-0,59%"
"19.08.2025","509,77","515,00","515,16","508,55","21,48M","-1,42%"
"20.08.2025","505,72","509,86","511,00","504,44","27,72M","-0,79%"
"21.08.2025","504,24","503,69","507,63","502,72","18,44M","-0,29%"
"22.08.2025","507,23","504,25","510,73","502,41","24,32M","0,59%"
"25.08.2025","504,26","506,63","508,19","504,12","21,64M","-0,59%"
"26.08.2025","502,04","504,36","504,98","498,51","30,84M","-0,44%"
"27.08.2025","506,74","502,00","507,29","499,90","17,28M","0,94%"
"28.08.2025","509,64","507,09","511,09","505,50","18,02M","0,57%"
"29.08.2025","506,69","508,66","509,60","504,49","20,96M","-0,58%"
"02.09.2025","505,12","500,46","506,00","496,81","18,13M","-0,31%"
"03.09.2025","505,35","503,79","507,79","502,32","16,35M","0,05%"
"04.09.2025","507,97","504,30","508,15","503,15","15,51M","0,52%"
"05.09.2025","495,00","509,07","511,97","492,37","31,99M","-2,55%"
"08.09.2025","498,20","498,11","501,20","495,03","16,77M","0,65%"
"09.09.2025","498,41","501,43","502,25","497,70","14,41M","0,04%"
"10.09.2025","500,37","502,98","503,23","496,72","21,61M","0,39%"
"11.09.2025","501,01","502,25","503,17","497,88","18,88M","0,13%"
"12.09.2025","509,90","506,65","512,55","503,85","23,62M","1,77%"
"15.09.2025","515,36","508,79","515,47","507,00","17,14M","1,07%"
"16.09.2025","509,04","516,88","517,23","508,60","19,71M","-1,23%"
"17.09.2025","510,02","510,62","511,29","505,93","15,82M","0,19%"
"18.09.2025","508,45","511,49","513,07","507,66","18,91M","-0,31%"
"19.09.2025","517,93","510,56","519,30","510,31","52,47M","1,86%"
"22.09.2025","514,45","515,59","517,74","512,54","20,01M","-0,67%"
"23.09.2025","509,23","513,80","514,59","507,31","19,80M","-1,01%"
"24.09.2025","510,15","510,38","512,48","506,92","13,53M","0,18%"
"25.09.2025","507,03","508,30","510,01","505,04","15,79M","-0,61%"
"26.09.2025","511,46","510,06","513,94","506,62","16,21M","0,87%"
"29.09.2025","514,60","511,50","516,84","508,88","17,62M","0,61%"
"30.09.2025","517,95","513,24","518,16","509,66","19,73M","0,65%"
"01.10.2025","519,71","514,80","520,51","511,69","22,63M","0,34%"
"02.10.2025","515,74","517,64","521,60","510,68","21,22M","-0,76%"
"03.10.2025","517,35","517,10","520,49","515,00","15,11M","0,31%"
"06.10.2025","528,57","518,61","531,03","518,20","21,39M","2,17%"
"07.10.2025","523,98","528,28","529,80","521,44","14,62M","-0,87%"
"08.10.2025","524,85","523,28","526,95","523,09","13,36M","0,17%"
"09.10.2025","522,40","522,34","524,33","517,40","18,34M","-0,47%"
"10.10.2025","510,96","519,64","523,58","509,63","24,13M","-2,19%"
"13.10.2025","514,05","516,41","516,41","511,68","14,28M","0,60%"
"14.10.2025","513,57","510,23","515,28","506,00","14,68M","-0,09%"
"15.10.2025","513,43","514,96","517,19","510,00","14,69M","-0,03%"
"16.10.2025","511,61","512,58","516,85","508,13","15,56M","-0,35%"
"17.10.2025","513,58","509,04","515,48","507,31","19,87M","0,39%"
"20.10.2025","516,79","514,61","518,70","513,43","14,67M","0,63%"
"21.10.2025","517,66","517,50","518,69","513,04","15,59M","0,17%"
"22.10.2025","520,54","521,15","525,23","517,71","18,96M","0,56%"
"23.10.2025","520,56","522,46","523,95","518,61","14,02M","0,00%"
"24.10.2025","523,61","522,79","525,34","520,71","15,53M","0,59%"
"27.10.2025","531,52","531,78","534,58","529,01","18,73M","1,51%"
"28.10.2025","542,07","550,00","553,72","540,77","29,99M","1,98%"
"29.10.2025","541,55","544,94","546,27","536,73","36,02M","-0,10%"
"30.10.2025","525,76","530,48","534,97","522,12","41,02M","-2,92%"
"31.10.2025","517,81","528,88","529,32","515,10","34,01M","-1,51%"
"03.11.2025","517,03","519,80","524,96","514,59","22,37M","-0,15%"
"04.11.2025","514,33","511,76","515,55","507,84","20,96M","-0,52%"
"05.11.2025","507,16","513,30","514,83","506,58","23,02M","-1,39%"
"06.11.2025","497,10","505,66","505,70","495,81","27,41M","-1,98%"
"07.11.2025","496,82","496,95","499,38","493,25","24,02M","-0,06%"
"10.11.2025","506,00","500,04","506,85","498,80","26,10M","1,85%"
"11.11.2025","508,68","504,80","509,60","502,35","17,98M","0,53%"
"12.11.2025","511,14","509,36","511,67","499,12","26,57M","0,48%"
"13.11.2025","503,29","510,31","513,50","501,29","25,27M","-1,54%"
"14.11.2025","510,18","498,23","511,60","497,44","28,51M","1,37%"
"17.11.2025","507,49","508,45","512,12","504,91","19,09M","-0,53%"
"18.11.2025","493,79","495,36","502,98","486,78","33,82M","-2,70%"
"19.11.2025","487,12","490,10","495,19","482,83","23,25M","-1,35%"
"20.11.2025","478,43","492,71","493,57","475,50","26,80M","-1,78%"
"21.11.2025","472,12","478,50","478,92","468,27","31,77M","-1,32%"
"24.11.2025","474,00","475,00","476,90","468,02","34,42M","0,40%"
"25.11.2025","476,99","474,07","479,15","464,89","28,02M","0,63%"
"26.11.2025","485,50","486,31","488,31","481,20","25,71M","1,78%"
"28.11.2025","492,01","487,60","492,63","486,65","14,39M","1,34%"
